Association,From Connection,To Connection,From Object,To Object
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP1TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0040
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0050
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0070
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0110
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0120
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0240
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0580
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0035
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0060
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0070
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0080
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0110
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0150
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0190
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0220
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0230
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0250
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0260
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0480
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0490
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0540
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0570
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0731
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0760
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0770
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0860
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0870
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0890
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0900
